Фраза,кол-во фраз в группе,"""!"" [YW]",Категория
сертификация волгоград,2,27,услуга + город
сертификат кольчугино,2,26,услуга + город
сертификация псков,2,26,услуга + город
сертификат выкса,2,25,услуга + город
сертификат печора,2,24,услуга + город
сертификация стерлитамак,2,24,услуга + город
сертификация кострома,2,22,услуга + город
декларация ставрополь,2,21,услуга + город
сертификация вологда,2,21,услуга + город
сертификация в москве,3,19,услуга + город
декларация лесной,6,17,услуга + город
сертификация челябинск,2,16,услуга + город
сертификация рязань,3,16,услуга + город
сертификация магнитогорск,2,16,услуга + город
сертификация в брянске,4,16,услуга + город
сертификация тюмень,3,13,услуга + город
сертификат орск,2,12,услуга + город
сертификат горно алтайск,2,12,услуга + город
сертификат канск,2,12,услуга + город
сертификация казанская,5,12,услуга + город
сертификат в шатуре,2,12,услуга + город
сертификация волжский,2,12,услуга + город
сертификат в невинномысске,2,12,услуга + город
декларация в выксе,2,12,услуга + город
сертификация киров,3,11,услуга + город
сертификация калуга,2,8,услуга + город
сертификация в воронеже,2,8,услуга + город
сертификация тольятти,2,8,услуга + город
декларация кисловодск,2,6,услуга + город
декларация щигры,2,6,услуга + город
декларация мегион,2,5,услуга + город
сертификат каменск уральский,2111,1241,услуга + город
сертификат ноябрьск,2111,1227,услуга + город
декларация в кирове,2111,1157,услуга + город
сертификат ессентуки,2111,1132,услуга + город
сертификат в пскове,2111,1000,услуга + город
сертификат в братске,2111,952,услуга + город
сертификат качканар,2111,749,услуга + город
сертификат в ковровом,2111,674,услуга + город
сертификат тюмень,2111,558,услуга + город
сертификат лермонтов,2111,546,услуга + город
декларация энгельс,2111,530,услуга + город
сертификат курск,2111,524,услуга + город
сертификат белорецк,2111,512,услуга + город
сертификация брест,2111,510,услуга + город
сертификат в якутске,2111,505,услуга + город
сертификация москва,2111,495,услуга + город
сертификат звенигород,2111,443,услуга + город
сертификат новочебоксарск,2111,443,услуга + город
декларация симферополь,2111,432,услуга + город
декларация казанская,2111,417,услуга + город
сертификат копейск,2111,406,услуга + город
сертификат пермь,2111,393,услуга + город
сертификат фрязино,2111,392,услуга + город
сертификат барнаул,2111,391,услуга + город
сертификат в электростали,2111,388,услуга + город
сертификат тверь,2111,387,услуга + город
декларация заводской,2111,385,услуга + город
сертификат юрга,2111,365,услуга + город
сертификат тайга,2111,335,услуга + город
сертификат санкт петербург,2111,327,услуга + город
сертификат вологда,2111,324,услуга + город
сертификат кингисепп,2111,316,услуга + город
сертификат в евпатории,2111,307,услуга + город
сертификат красноярск,2111,296,услуга + город
сертификат бугульма,2111,277,услуга + город
сертификат брянск,2111,276,услуга + город
сертификат в лиде,2111,276,услуга + город
сертификат тамбов,2111,273,услуга + город
декларация первоуральск,2111,269,услуга + город
сертификация прогресс,2111,267,услуга + город
сертификат хабаровск,2111,261,услуга + город
декларация полярный,2111,253,услуга + город
сертификация иркутск,2111,247,услуга + город
декларация тихвин,2111,242,услуга + город
декларация всеволожск,2111,241,услуга + город
сертификат сысерть,2111,241,услуга + город
сертификат забайкальск,2111,241,услуга + город
сертификат углич,2111,239,услуга + город
сертификат ржев,2111,236,услуга + город
сертификат зеленодольск,2111,235,услуга + город
сертификат в красноярске,2111,228,услуга + город
сертификат кострома,2111,226,услуга + город
сертификат апатиты,2111,221,услуга + город
декларация гатчина,2111,219,услуга + город
декларация в калуге,2111,218,услуга + город
сертификат батайск,2111,214,услуга + город
сертификат назарово,2111,209,услуга + город
сертификат симферополь,2111,202,услуга + город
сертификация набережные челны,2111,193,услуга + город
сертификат йошкар ола,2111,191,услуга + город
декларация солнечный,2111,191,услуга + город
сертификат набережные челны,2111,188,услуга + город
декларация туймазы,2111,187,услуга + город
сертификат свободы,2111,187,услуга + город
декларация елабуга,2111,184,услуга + город
декларация семёнов,2111,184,услуга + город
сертификация в орле,2111,182,услуга + город
сертификат усинск,2111,180,услуга + город
сертификация краснодар,2111,175,услуга + город
декларация стерлитамак,2111,173,услуга + город
сертификат белокуриха,2111,172,услуга + город
сертификат неман,2111,166,услуга + город
декларация щёкино,2111,158,услуга + город
сертификация махачкала,2111,154,услуга + город
сертификат в ноябрьске,2111,151,услуга + город
сертификат гусь хрустальный,2111,151,услуга + город
сертификат бирск,2111,149,услуга + город
сертификат мурманск,2111,147,услуга + город
сертификат пенза,2111,142,услуга + город
сертификат новороссийск,2111,142,услуга + город
декларация нефтекамск,2111,139,услуга + город
декларация дмитриев,2111,139,услуга + город
декларация новокуйбышевск,2111,135,услуга + город
сертификат владивосток,2111,134,услуга + город
сертификат дзержинск,2111,128,услуга + город
сертификат искитим,2111,124,услуга + город
сертификат в тюмени,2111,123,услуга + город
сертификат в пионерском,2111,122,услуга + город
сертификат пионерский,2111,122,услуга + город
декларация троицк,2111,120,услуга + город
сертификат псков,2111,117,услуга + город
сертификат балашиха,2111,112,услуга + город
сертификат в качканаре,2111,111,услуга + город
сертификат анжеро судженск,2111,110,услуга + город
декларация муром,2111,109,услуга + город
сертификат новокузнецк,2111,107,услуга + город
декларация чебаркуль,2111,107,услуга + город
сертификат новый,2111,99,услуга + город
декларация урай,2111,97,услуга + город
сертификат валдай,2111,96,услуга + город
сертификат сыктывкар,2111,95,услуга + город
сертификат арзамас,2111,93,услуга + город
декларация кириши,2111,93,услуга + город
сертификат муром,2111,92,услуга + город
декларация ижевск,2111,86,услуга + город
сертификат бобров,2111,86,услуга + город
сертификат ревда,2111,84,услуга + город
сертификат нижний тагил,2111,82,услуга + город
сертификат камышин,2111,82,услуга + город
декларация дюртюли,2111,82,услуга + город
сертификат лиски,2111,82,услуга + город
сертификат саранск,2111,81,услуга + город
декларация бирск,2111,81,услуга + город
сертификат бердск,2111,79,услуга + город
сертификат электросталь,2111,78,услуга + город
сертификат егорьевск,2111,78,услуга + город
сертификат елабуга,2111,75,услуга + город
сертификат городец,2111,74,услуга + город
сертификация королёв,2111,73,услуга + город
сертификация лида,2111,73,услуга + город
сертификат рославль,2111,72,услуга + город
сертификат рыбинск,2111,67,услуга + город
сертификация санкт петербург,2111,67,услуга + город
сертификат одинцово,2111,67,услуга + город
сертификат донецк,2111,65,услуга + город
сертификация в рязани,2111,65,услуга + город
сертификат братск,2111,64,услуга + город
сертификат миасс,2111,64,услуга + город
сертификат магнитогорск,2111,63,услуга + город
сертификат сургут,2111,62,услуга + город
декларация пенза,2111,62,услуга + город
сертификат камешково,2111,62,услуга + город
сертификат ухта,2111,60,услуга + город
декларация чебоксары,2111,58,услуга + город
сертификат березники,2111,58,услуга + город
сертификат подольск,2111,57,услуга + город
декларация грязи,2111,57,услуга + город
сертификат армавир,2111,55,услуга + город
декларация сургут,2111,53,услуга + город
сертификация уфа,2111,52,услуга + город
декларация вольск,2111,52,услуга + город
декларация томск,2111,50,услуга + город
декларация шадринск,2111,50,услуга + город
сертификат пограничный,2111,50,услуга + город
сертификат солнечный,2111,49,услуга + город
декларация петрозаводск,2111,49,услуга + город
сертификат энгельс,2111,48,услуга + город
декларация в уфе,2111,48,услуга + город
сертификат северск,2111,48,услуга + город
декларация семилуки,2111,48,услуга + город
сертификат чудово,2111,48,услуга + город
сертификация электросталь,2111,48,услуга + город
сертификат кинешма,2111,48,услуга + город
сертификат куйбышев,2111,47,услуга + город
сертификация хабаровск,2111,46,услуга + город
сертификат в твери,2111,45,услуга + город
сертификат благовещенск,2111,45,услуга + город
сертификат черкесск,2111,45,услуга + город
сертификат уссурийск,2111,43,услуга + город
декларация мариинск,2111,43,услуга + город
декларация зея,2111,43,услуга + город
сертификат волжский,2111,42,услуга + город
сертификат абакан,2111,42,услуга + город
декларация ангарск,2111,42,услуга + город
сертификат норильск,2111,42,услуга + город
сертификат жуковский,2111,42,услуга + город
декларация кирово чепецк,2111,42,услуга + город
сертификат клин,2111,41,услуга + город
сертификат вязники,2111,41,услуга + город
сертификация абакан,2111,40,услуга + город
декларация черногорск,2111,40,услуга + город
сертификат лесосибирск,2111,39,услуга + город
сертификат магадан,2111,38,услуга + город
декларация набережные челны,2111,38,услуга + город
декларация в тобольске,2111,38,услуга + город
декларация кемерово,2111,37,услуга + город
сертификат в рыбинске,2111,37,услуга + город
декларация в мичуринске,2111,37,услуга + город
сертификат королёв,2111,36,услуга + город
сертификат ханты мансийск,2111,36,услуга + город
декларация лиски,2111,36,услуга + город
сертификат ермолино,2111,36,услуга + город
сертификат алапаевск,2111,36,услуга + город
сертификация волгодонск,2111,36,услуга + город
сертификат алатырь,2111,36,услуга + город
декларация губкинский,2111,36,услуга + город
сертификат кушва,2111,36,услуга + город
сертификат соль илецк,2111,36,услуга + город
декларация в гае,2111,36,услуга + город
сертификат в глазове,2111,36,услуга + город
сертификат нефтекамск,2111,35,услуга + город
сертификат дубна,2111,35,услуга + город
сертификация архангельск,2111,35,услуга + город
сертификат сибирский,2111,34,услуга + город
декларация тольятти,2111,34,услуга + город
сертификация лабинск,2111,34,услуга + город
сертификат лысьва,2111,33,услуга + город
сертификат в таганроге,2111,32,услуга + город
сертификат новополоцк,2111,32,услуга + город
сертификат соликамск,2111,32,услуга + город
декларация абакан,2111,31,услуга + город
декларация глазов,2111,31,услуга + город
сертификат мончегорск,2111,31,услуга + город
сертификат улан удэ,2111,30,услуга + город
сертификат салехард,2111,30,услуга + город
сертификат таганрог,2111,29,услуга + город
сертификат новый уренгой,2111,29,услуга + город
сертификат в коломне,2111,29,услуга + город
сертификация томск,2111,29,услуга + город
сертификация коломна,2111,29,услуга + город
сертификат добрянка,2111,29,услуга + город
сертификат витебск,2111,28,услуга + город
сертификат гатчина,2111,28,услуга + город
сертификат туапсе,2111,28,услуга + город
декларация канаш,2111,28,услуга + город
декларация куйбышев,2111,27,услуга + город
сертификат павловский посад,2111,26,услуга + город
сертификация новороссийск,2111,26,услуга + город
сертификат северный,2111,25,услуга + город
сертификат истра,2111,25,услуга + город
сертификат кузнецк,2111,25,услуга + город
декларация сызрань,2111,25,услуга + город
декларация нижний новгород,2111,24,услуга + город
сертификат боровичи,2111,24,услуга + город
сертификат в чехове,2111,24,услуга + город
сертификат сланцы,2111,24,услуга + город
декларация ханты мансийск,2111,24,услуга + город
сертификат кировск,2111,24,услуга + город
декларация серпухов,2111,24,услуга + город
сертификат вольск,2111,24,услуга + город
декларация ачинск,2111,24,услуга + город
сертификат кыштым,2111,24,услуга + город
декларация в череповце,2111,24,услуга + город
сертификат снежинск,2111,24,услуга + город
сертификат мегион,2111,24,услуга + город
сертификация балашиха,2111,24,услуга + город
сертификат сортавала,2111,24,услуга + город
декларация ессентуки,2111,24,услуга + город
сертификат в шелехове,2111,24,услуга + город
сертификат людиново,2111,24,услуга + город
сертификат усть кут,2111,24,услуга + город
декларация юрга,2111,24,услуга + город
сертификация в сургуте,2111,24,услуга + город
сертификация бердск,2111,24,услуга + город
декларация в магнитогорске,2111,24,услуга + город
сертификация в таганроге,2111,24,услуга + город
сертификат талица,2111,24,услуга + город
сертификат курган,2111,23,услуга + город
декларация магнитогорск,2111,23,услуга + город
декларация усолье сибирское,2111,23,услуга + город
сертификат в энгельсе,2111,23,услуга + город
сертификат краснообск,2111,23,услуга + город
сертификат полярный,2111,22,услуга + город
декларация арзамас,2111,22,услуга + город
декларация казань,2111,21,услуга + город
декларация иркутск,2111,21,услуга + город
сертификат тихорецк,2111,21,услуга + город
декларация тимашёвск,2111,21,услуга + город
сертификат нижневартовск,2111,20,услуга + город
декларация саранск,2111,20,услуга + город
сертификат златоуст,2111,20,услуга + город
декларация нижний тагил,2111,20,услуга + город
сертификат сосновый бор,2111,20,услуга + город
сертификат ефремов,2111,20,услуга + город
сертификация в астрахани,2111,19,услуга + город
декларация иваново,2111,18,услуга + город
сертификат владикавказ,2111,18,услуга + город
сертификат ногинск,2111,18,услуга + город
сертификат в магнитогорске,2111,18,услуга + город
декларация псков,2111,18,услуга + город
сертификат горячий ключ,2111,18,услуга + город
сертификат саров,2111,18,услуга + город
сертификат в вологде,2111,17,услуга + город
сертификат бийск,2111,17,услуга + город
сертификат великие луки,2111,17,услуга + город
сертификат в химках,2111,17,услуга + город
сертификат в бийске,2111,17,услуга + город
сертификат междуреченск,2111,17,услуга + город
декларация в вологде,2111,17,услуга + город
сертификация бобруйск,2111,17,услуга + город
сертификат свободный,2111,16,услуга + город
сертификат в пензе,2111,16,услуга + город
декларация рязань,2111,16,услуга + город
сертификат раменское,2111,16,услуга + город
декларация белгород,2111,16,услуга + город
сертификат находка,2111,16,услуга + город
сертификация улан удэ,2111,16,услуга + город
сертификация бийск,2111,16,услуга + город
сертификат усть катав,2111,16,услуга + город
сертификат южно сахалинск,2111,15,услуга + город
сертификат стерлитамак,2111,15,услуга + город
сертификат шахты,2111,15,услуга + город
сертификат керчь,2111,15,услуга + город
декларация архангельск,2111,15,услуга + город
сертификат тихвин,2111,15,услуга + город
сертификат зеленоградск,2111,15,услуга + город
сертификат мценск,2111,15,услуга + город
сертификат астрахань,2111,14,услуга + город
декларация екатеринбург,2111,14,услуга + город
декларация новосибирск,2111,14,услуга + город
сертификат комсомольск на амуре,2111,14,услуга + город
сертификат выборг,2111,14,услуга + город
декларация новый уренгой,2111,14,услуга + город
сертификация витебск,2111,14,услуга + город
декларация прокопьевск,2111,14,услуга + город
декларация новороссийск,2111,14,услуга + город
декларация чистополь,2111,14,услуга + город
сертификат остров,2111,13,услуга + город
декларация ульяновск,2111,13,услуга + город
декларация раменское,2111,13,услуга + город
сертификация могилёв,2111,13,услуга + город
сертификат слуцк,2111,13,услуга + город
декларация десногорск,2111,13,услуга + город
декларация калининград,2111,12,услуга + город
декларация курск,2111,12,услуга + город
сертификат гагарин,2111,12,услуга + город
декларация горный,2111,12,услуга + город
декларация жуков,2111,12,услуга + город
сертификат полевской,2111,12,услуга + город
декларация яровое,2111,12,услуга + город
сертификат в ангарске,2111,12,услуга + город
сертификат в каменске уральском,2111,12,услуга + город
сертификат в дербенте,2111,12,услуга + город
сертификат можайск,2111,12,услуга + город
сертификат гигант,2111,12,услуга + город
сертификат новотроицк,2111,12,услуга + город
декларация геленджик,2111,12,услуга + город
сертификат ливны,2111,12,услуга + город
сертификат лабинск,2111,12,услуга + город
декларация гусев,2111,12,услуга + город
сертификат маркс,2111,12,услуга + город
сертификат усолье сибирское,2111,12,услуга + город
сертификат красноуфимск,2111,12,услуга + город
сертификат волхов,2111,12,услуга + город
сертификат ирбит,2111,12,услуга + город
сертификат яшкино,2111,12,услуга + город
сертификат балашов,2111,12,услуга + город
сертификат в ельце,2111,12,услуга + город
сертификация ногинск,2111,12,услуга + город
сертификат михайловск,2111,12,услуга + город
сертификат шексна,2111,12,услуга + город
сертификат мыски,2111,12,услуга + город
сертификат воротынск,2111,12,услуга + город
декларация кстово,2111,12,услуга + город
декларация кольцово,2111,12,услуга + город
сертификат михайловка,2111,12,услуга + город
сертификация одинцово,2111,12,услуга + город
сертификат сосновка,2111,12,услуга + город
сертификат в минусинске,2111,12,услуга + город
сертификат щёкино,2111,12,услуга + город
сертификат балтийск,2111,12,услуга + город
сертификат в ишимбае,2111,12,услуга + город
сертификат вятские поляны,2111,12,услуга + город
сертификат нытва,2111,12,услуга + город
сертификат рошаль,2111,12,услуга + город
сертификация барановичи,2111,12,услуга + город
сертификат в каменске шахтинском,2111,12,услуга + город
сертификация армавир,2111,12,услуга + город
сертификация пушкино,2111,12,услуга + город
декларация бородино,2111,12,услуга + город
декларация в нефтекамске,2111,12,услуга + город
декларация лида,2111,12,услуга + город
сертификат в вязьме,2111,12,услуга + город
декларация ленинск,2111,12,услуга + город
сертификат в россоши,2111,12,услуга + город
сертификат тарки,2111,12,услуга + город
декларация нягань,2111,12,услуга + город
сертификат в кукморе,2111,12,услуга + город
сертификат таштагол,2111,12,услуга + город
сертификат чегем,2111,12,услуга + город
декларация в междуреченске,2111,12,услуга + город
декларация ейск,2111,12,услуга + город
декларация мелеуз,2111,12,услуга + город
декларация тейково,2111,12,услуга + город
сертификат электроугли,2111,12,услуга + город
декларация шелехов,2111,12,услуга + город
декларация губаха,2111,12,услуга + город
декларация фёдоровский,2111,12,услуга + город
сертификат в конаково,2111,12,услуга + город
сертификат кимры,2111,12,услуга + город
сертификат большой камень,2111,12,услуга + город
сертификация энгельс,2111,12,услуга + город
декларация в кызыле,2111,12,услуга + город
сертификация евпатория,2111,12,услуга + город
декларация в салехарде,2111,12,услуга + город
декларация коркино,2111,12,услуга + город
декларация в моздоке,2111,12,услуга + город
сертификация сегежа,2111,12,услуга + город
сертификат скопин,2111,12,услуга + город
декларация в сарове,2111,12,услуга + город
декларация в баксане,2111,12,услуга + город
декларация янаул,2111,12,услуга + город
декларация суровикино,2111,12,услуга + город
сертификат тейково,2111,12,услуга + город
сертификация искитим,2111,12,услуга + город
сертификация в анапе,2111,12,услуга + город
сертификация протвино,2111,12,услуга + город
сертификация калач,2111,12,услуга + город
декларация баймак,2111,12,услуга + город
сертификация в саракташе,2111,12,услуга + город
сертификация новоспасское,2111,12,услуга + город
сертификат в лобне,2111,12,услуга + город
сертификат прокопьевск,2111,11,услуга + город
декларация солнечногорск,2111,11,услуга + город
декларация озёрск,2111,11,услуга + город
декларация астрахань,2111,10,услуга + город
декларация домодедово,2111,10,услуга + город
сертификат сибай,2111,10,услуга + город
декларация новочебоксарск,2111,10,услуга + город
декларация данилов,2111,10,услуга + город
сертификат солигорск,2111,9,услуга + город
декларация люберцы,2111,9,услуга + город
сертификат надым,2111,9,услуга + город
сертификация ангарск,2111,9,услуга + город
декларация в раменском,2111,9,услуга + город
декларация крымск,2111,9,услуга + город
декларация белореченск,2111,9,услуга + город
декларация яранск,2111,9,услуга + город
сертификация петрозаводск,2111,8,услуга + город
сертификация ухта,2111,8,услуга + город
декларация в домодедове,2111,8,услуга + город
сертификат уруссу,2111,8,услуга + город
сертификация кузнецк,2111,7,услуга + город
декларация верхняя салда,2111,7,услуга + город
сертификат алушта,2111,7,услуга + город
сертификация в чите,2111,6,услуга + город
сертификация майкоп,2111,6,услуга + город
сертификация муром,2111,6,услуга + город
сертификация котлас,2111,6,услуга + город
декларация сафоново,2111,6,услуга + город
декларация семикаракорск,2111,6,услуга + город
декларация химки,2111,5,услуга + город
декларация дятьково,2111,5,услуга + город
декларация бахчисарай,2111,5,услуга + город
декларация суворов,2111,5,услуга + город
декларация кувшиново,2111,5,услуга + город
сертификация дмитриев,2111,5,услуга + город
сертификация гигант,2111,5,услуга + город
сертификат касимов,2111,4,услуга + город
декларация подольск,2111,4,услуга + город
сертификация сергиев посад,2111,3,услуга + город
